"company_trade_name","company_id","nickname","type","year_opened","address_id","facility_employees"
"AeroFarms","","AeroFarms Abu Dhabi, UAE","farm","","",""
"AeroFarms","","AeroFarms Danville, VA","farm","","",""
"AeroFarms","","AeroFarms HQ Farm - Newark","farm","2016","",""
"AeroFarms","","AeroFarms HQ Office - Newark","office","2016","",""
"Gotham Greens","","Atlanta Metro greenhouse - coming soon","farm","","",""
"Gotham Greens","","Aurora, Denver Metro greenhouse","farm","","",""
"Gotham Greens","","Baltimore greenhouse","farm","","",""
"Bowery Farming","","Bethlehem Farm","farm","","",""
"Square Roots","","Brooklyn farm","farm","2017","",""
"Smallhold","","Brooklyn Macrofarm","farm","","",""
"Smallhold","","Buda Farm - production","farm","","",""
"Smallhold","","Buda Farm - R&D","farm","","",""
"Gotham Greens","","Chicago Method soap factory greenhouse","farm","2015","",""
"Gotham Greens","","Chicago Woodlawn Ave greenhouse","farm","2019","",""
"BrightFarms","","Culpeper, Virginia Farm","farm","","",""
"Gotham Greens","","Dallas County greenhouse - coming soon","farm","","",""
"Gotham Greens","","Davis, California greenhouse","farm","","",""
"Gotham Greens","","Denver Metro greenhouse - coming soon","farm","","",""
"Radicle Farm","","Farm","farm","2015","",""
"BrightFarms","","Farm Support Center","office","","",""
"Farm.One","","Flagship Farm","farm","","",""
"Farm.One","","Flagship Farm - office","office","","",""
"Gotham Greens","","Gowanus, Brooklyn greenhouse","farm","2013","",""
"Square Roots","","Grand Rapids Campus","farm","","",""
"Gotham Greens","","Greenpoint, Brooklyn greenhouse","farm","2011","",""
"Bowery Farming","","Headquarters","office","","",""
"BrightFarms","","Headquarters","office","","",""
"Gotham Greens","","Headquarters","office","","",""
"Oishii","","Headquarters","office","","",""
"Smallhold","","Headquarters","office","","",""
"Square Roots","","Headquarters","office","","",""
"Upward Farms","","Headquarters farm","farm","","",""
"Upward Farms","","Headquarters office","office","","",""
"BrightFarms","","Hendersonville, North Carolina Farm","farm","","",""
"Element Farms","","HQ","office","2021","",""
"Gotham Greens","","Jamaica, Queens greenhouse","farm","2015","",""
"Oishii","","Jersey City Farm","farm","2022","",""
"Bowery Farming","","Kearny Farm","farm","2017","",""
"Oishii","","Kearny farm","farm","","",""
"Bowery Farming","","Kearny Research & Development Center","farm","","",""
"Square Roots","","Kenosha farm","farm","","",""
"Oishii","","Los Angeles farm","farm","2021","",""
"BrightFarms","","Loudon, New Hampshire Farm","farm","","",""
"AeroFarms","","Midwest Farm","farm","","",""
"AeroFarms","","Newark Farm","farm","2015","",""
"Bowery Farming","","Nottingham Farm","farm","","",""
"Radicle Farm","","Office","office","2014","",""
"Element Farms","","Production farm","farm","2019","",""
"Gotham Greens","","Providence greenhouse","farm","","",""
"AeroFarms","","Research and Development Farm - Newark","farm","2013","",""
"BrightFarms","","Rochelle, Illinois Farm","farm","","",""
"BrightFarms","","Selinsgrove, Pennsylvania Farm","farm","","",""
"Square Roots","","Shepherdsville Campus - farm","farm","","",""
"Square Roots","","Shepherdsville Campus - office","office","","",""
"Square Roots","","Springfield Campus","farm","","",""
"Gotham Greens","","Stevensburg, Virginia greenhouse","farm","2022","",""
"BrightFarms","","unknown","unknown","","",""
"Smallhold","","Vernon Farm","farm","","",""
"BrightFarms","","Wilmington, Ohio Farm","farm","","",""
